Title:,"Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubTitle:,USA - Model: All Models - Vehicle Year: All Vehicle Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,01/1975 - 12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Oct-78,,,,184,14,,32,10,10,446,162,2730,160,,242,2,12,536,,30,2392,30,,248,310,,,,272,,134,,78,98,124,,106,,62,108,44,20,312,,,,484,,48,44,78,,478,676,20,,,,120,2,,24,,224,44,50,318,26,,,,,,,,,,,,,,,,,
Nov-78,,,,184,22,,18,4,6,456,130,2560,160,,200,,4,568,,36,2296,24,,252,226,,,,276,,142,,68,110,74,,66,,86,106,22,34,308,,,,448,,26,54,78,,448,608,34,,,,40,4,,36,,254,38,82,314,32,,,,,,,,,,,,,,,,,
Dec-78,,,,216,12,,16,4,14,486,172,2646,160,,238,,10,562,,58,2308,28,,230,202,,12,,234,,106,,76,62,38,,42,,82,112,50,22,270,,,,482,,36,42,62,,470,632,18,,,,46,4,,28,,252,20,62,332,34,,,,,,,,,,,,,,,,,
Jan-79,,,,134,22,,8,8,,358,138,1774,96,,194,,4,398,,26,1582,16,,236,122,,,,192,,98,,66,60,28,,16,,44,106,38,22,248,,14,,324,,30,28,68,,326,410,20,,,,60,,,36,,192,26,44,258,24,,,,,,,,,,,,,,,,,
Feb-79,,,,110,20,,12,4,6,302,110,1846,94,,156,2,8,468,,22,1686,34,,230,122,,4,,224,,116,,52,78,38,,24,,56,110,12,16,210,,30,,368,,24,24,58,,328,464,14,,,,26,2,,14,,196,14,28,262,18,,,,,,,,,,,,,,,,,
Mar-79,,,,192,16,,12,10,8,404,156,2374,118,,236,2,12,504,,30,1948,20,,232,264,,2,,226,,118,,48,76,70,,68,,64,108,34,18,314,,48,,470,,22,36,58,,358,534,12,,,,86,10,,32,,236,36,58,312,26,,,,,,,,,,,,,,,,,
Apr-79,,,,140,12,,18,4,10,392,144,2392,134,,268,2,4,504,,32,1880,18,,228,350,,6,,208,,134,,70,86,136,,110,,66,86,28,16,290,,26,,442,,42,42,48,,392,524,14,,,,104,8,,22,,228,44,40,318,8,,,,,,,,,,,,,,,,,
May-79,,,,156,10,,18,2,12,354,116,2346,116,,248,6,4,486,,38,1962,34,,290,478,,6,,240,,124,,72,92,230,,166,,60,96,38,20,282,,34,,442,,58,26,64,,400,558,6,,,,174,8,,34,,216,46,24,286,24,,,,,,,,,,,,,,,,,
Jun-79,,,,166,8,,32,,20,342,128,2240,110,,266,6,10,538,,42,2018,20,,284,520,,4,,188,,128,,100,90,254,,238,,60,108,42,16,260,,50,,438,,94,50,58,,342,550,16,,,,222,10,,26,,224,58,44,268,16,,,,,,,,,,,,,,,,,
Jul-79,,,,156,14,,24,4,16,380,138,2406,128,,262,4,20,548,,14,2064,22,,290,516,,2,,274,,118,,82,76,268,,198,,42,122,22,22,268,,40,,414,,110,86,92,,450,590,12,,,,232,14,,42,,230,84,58,318,46,,,,,,,,,,,,,,,,,
