"Title:","Revenue by Sport from the College Athletics Database"
"SubTitle:","Variable: Per Team for Men and Women"
"Time:","2006 - 2020"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"Wentworth Institute of Technology",133163,98904,,,72854,,266409,65795,,84765,,177115,,166936,256013,,,74410,319019,287744,84956,,103040,,183287,,162216,245890,,,77399,309620,272984,74220,,96864,,177248,,138565,223991,,,70203,315907,182776,56895,,88220,,155958,,122910,213464,,,66264,291963,180019,59717,,61133,,139196,,125494,215714,,,64071,292252,183324,57757,,56420,,125166,,107714,231387,,,30865,235737,172351,49474,,51560,,115663,,115373,230731,,,30106,209870,166907,45693,,46372,,112776,,108578,232912,,,19603,204995,150478,40049,,33275,,49469,,105936,240553,,,19763,143359,169674,36901,,26999,,48104,,96770,239494,,,15300,150845,164524,36301,,24304,,45681,,98654,227823,,,16636,143470,171510,30714,,24650,,46978,
"Simpson College",133009,318075,,415572,32249,,171338,140936,,32765,,147540,126401,157895,419088,,484644,42935,,207613,112823,,34349,,223921,126535,167842,411478,,463887,58281,,197212,184338,68059,35639,,199526,142738,137124,413896,,486707,64058,,197424,166135,62419,29741,,228774,134405,127758,409922,,473466,69748,,217480,158086,54688,26568,,196364,123032,126796,426705,,525858,74432,,203818,102710,92080,31015,241366,206902,130591,106405,345615,,606410,99255,,183925,135840,40485,26320,,309955,126550,106197,345215,,606208,98826,,183755,133727,,25947,417136,309792,126498,114437,340801,,466804,93256,,166094,120465,,37269,317000,129723,141808,147216,383710,,461072,86821,,189893,134143,,24852,266373,197904,159590,129520,392288,,465665,66336,,132512,112488,,28567,197967,184872,134231,128948,468406,,514042,74712,,161758,127202,,31682,175610,236296,155887
"Emerson College",132811,,,,,,,103827,,,,,,187692,339595,,,,,293630,152062,,157606,,158389,,224024,336284,,,,,328216,165621,,167076,,169150,,216448,301000,,,,,302472,158374,,151215,,160404,,162575,324717,,,,,273463,146730,,108810,,130949,,173397,283942,,,,,239014,125307,,67780,,137245,,69756,244403,,,,,137263,125091,,31563,,110045,,62574,229693,,,,,150115,113902,,31719,,107789,,58559,264703,,,,,64471,99646,,39383,,121701,,47367,191909,,,,,48144,110153,,29867,,91220,,48000,179100,,,,,45700,106650,,28500,,78700,,66500,197500,,,,,44000,85500,,16300,,75000,
"Emory & Henry College",132563,218149,,497091,60024,,115080,105803,,75188,,93600,97864,207366,379321,,548345,76026,,183544,169586,,77281,,105054,,238512,466392,,559665,77338,,186507,182259,,79355,,83704,,217436,491108,,562222,80116,,193647,173492,,79488,,78012,,195278,403545,,538354,66140,,177860,177233,,72007,,86199,,143119,364397,,567110,,,174351,118699,,77672,,71078,,138123,233442,,562106,,,185762,68955,,100697,,22247,,125033,310210,,560445,,,168106,86497,,86515,,81054,,133491,222275,,511755,,,132767,57878,,99757,,63904,,146625,218657,,515591,,,129949,81834,,96098,,62640,,160925,221638,,498693,,,139793,57252,,73407,,62606,,99698,210025,,489600,,,114921,57086,,91217,,57828,
"Husson University",132511,283616,12024,,39746,,123653,104215,60936,16653,,12326,,183943,270920,39973,464202,94429,,230746,118544,93062,23002,,60156,,142626,281050,50378,457094,104874,,264731,113372,49992,21212,,49943,,143167,215723,50783,390579,111514,,224823,107701,89078,19268,,43035,,116161,175724,52909,429197,104387,,171547,119008,43755,24852,,58915,,123742,142709,62861,388805,108404,,131413,132031,,23396,,54915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson & Wales University-Providence",132262,,,,,,,135797,,,,,,149936,260167,88651,,123746,406126,283649,139162,,97613,,275801,217356,140414,266517,96629,,109325,390485,258923,158446,,127814,,298656,214589,162844,285729,94558,,139953,374392,257735,141776,,131063,,272083,211645,135136,263631,113795,,108281,395791,229208,135751,,129558,,247824,162017,183061,278800,105042,,109273,432977,250890,134936,,126308,,244468,192926,115868,254094,95840,,94505,174843,223431,75102,,78529,,231376,162589,138512,224575,102609,,36578,214994,201994,70408,,84708,,182669,122368,128046,214227,,,58224,167099,303830,84395,,63329,,175999,117488,89242,144526,,,28746,176665,125127,72651,,59624,,133896,98839,62282,75099,,,19704,104382,100129,52429,,42231,,79928,52959,63113,67326,,,24737,96331,91214,44079,,42076,,87633,50275
"Washington College",132229,166611,70910,,,,136666,69458,,102818,,69373,,133913,274950,130035,,,,300550,90811,,156594,,124641,,190758,319876,115631,,,,262155,147283,,155893,,114094,,166391,245769,111750,,,,224462,125418,,143444,,101538,,151707,263173,95599,,,,206492,115581,,128832,,98712,,151008,252130,102789,,,,179600,115843,,117878,,94501,,127311,252639,155216,,,,190979,114041,,141580,,90534,,98025,208482,116150,,,,202886,103543,,120701,,98148,,119621,211696,85752,,,,148329,83929,,97885,,46448,,109948,187958,108801,,,,92979,62595,,102455,,53663,,106502,164881,101785,,,,135652,57228,,155656,,44805,,84940,152087,80439,,,,145571,50467,,191797,,41234,
"Augsburg University",132147,263567,,446113,96271,302424,192160,123055,85143,,75909,126641,325427,136489,382417,,527748,139043,403983,319616,137938,104348,,272847,190013,359496,187881,360540,,488645,147087,412060,307385,139902,107915,,267289,235999,267097,171969,350708,,386353,148420,386200,330290,132447,94901,,261570,191221,234550,173252,328396,,362897,145224,404088,265584,127333,90226,,249352,168563,250032,169631,317946,,388794,140232,371880,256538,142584,95208,,222556,180394,246637,158960,277320,,354750,139268,360988,379709,138716,94703,,223330,209669,224512,153778,261583,,339627,115040,272483,250758,125847,64879,,208258,144692,407541,157272,267966,,348891,96824,264218,217718,118952,59660,,214498,138710,385104,184691,325125,,336864,88822,260109,298910,115611,41143,,181237,124607,412998,157325,248829,,363153,98438,272717,268354,98629,,,177964,112258,348331,124197,235181,,291360,92116,214626,195980,90830,,,159420,107299,344102
"College of Staten Island CUNY",132141,177293,,,,,181721,131117,154554,,,,,103916,260108,,,,,218807,79483,164155,112553,322251,,,133483,208999,,,,,223551,97578,117463,70595,196321,73264,,86954,132656,,,,,88581,59511,62751,34786,,60287,,102902,144386,,,,,92504,77537,82303,41139,,53482,,92217,141346,,,,,86917,68212,77348,34498,,65301,,66089,106811,,,,,65653,50883,61388,32679,,48734,,68866,112340,,,,,61148,65963,56862,32049,,18985,,70425,99124,,,,,55555,47580,53536,33512,,17990,,56295,126823,,,,,49600,51093,70310,36995,,21990,,60418,113079,,,,,47439,45929,66566,26632,,15596,,46743,102165,,,,,52119,42311,63955,24190,,24417,
"Abraham Baldwin Agricultural College",131775,,,,52073,,64515,124116,,93693,,,,144792,,,,47214,,62252,135693,,107693,,,,164058,,,,45743,,67244,155995,,112890,,,,144230,,,,51393,,72915,123082,,127488,,,,149436,,,,52510,,81852,127386,,148868,,,,159309,,,,48003,,75992,110709,,132950,,,,117575,,,,43204,,74801,128584,,124422,,,,113962,,,,46747,,89458,113222,,143108,,,,106284,,,,44385,,69164,113277,,170439,,,,80129,,,,33486,,79881,109027,,161227,,,,111150,,,,53461,,71110,111203,,157199,,,,130146,,,,53189,,106324,147715,,258247,,,
"Hanover College",131555,452673,,397219,89138,,234730,78108,,98516,,116644,,156576,540661,,480413,78525,,272667,78939,,95064,,124145,,133955,442405,,425046,103563,,257482,78494,,107581,,125620,,129813,400430,,448256,147612,,240721,83499,,100402,,123726,,125042,379928,,447246,174086,,270802,98753,,75263,154217,129337,,96555,357602,,476008,147588,,206062,96801,,71630,177630,112646,,97493,368759,,361330,152179,,205712,94200,,68768,204196,116113,,113663,353195,,366713,142084,,208226,71528,,83936,187803,121473,,134274,355829,,390605,129850,,184126,68743,,76735,169469,102425,,129029,462843,,387293,122578,,165432,65324,,83258,171794,107647,,107860,475562,,348710,99850,,143541,46133,,62458,100520,90517,,90543,431007,,346872,85022,,151445,51525,,69062,108139,91678,
"Santa Ana College",130990,,,,,,,125754,,,,,,158683,247934,,240080,,,174696,95397,,,,70808,65264,156766,243640,,247390,,,188510,120439,,,,66829,68923,158359,236566,,250095,,,185377,123019,,,,67338,67908,188560,244778,,295341,,,196404,120527,,,,68148,63666,154902,239920,,220946,,,149919,141930,,,,62910,39564,121727,213562,,289582,,,128325,138374,,,,41297,59015,78302,158297,,219225,,,120666,93717,,,,62924,50826,87560,135186,,153073,,,75999,72663,,,,62706,31478,106225,125613,,169619,14367,,97113,66424,,,,57772,53362,151441,118475,,234994,26487,,131862,89244,,,,54483,63728,137541,156551,,181582,97055,,150527,95025,,,,82859,64512
"Muhlenberg College",130551,206603,109412,422645,38320,,291051,101658,,49152,154792,74175,100281,145540,280896,126812,555977,42438,,306997,91194,,52508,180390,121313,151755,209760,471032,165525,482299,47524,,350475,137709,,52186,192592,128719,181798,187911,261043,113855,458604,50807,,232093,116255,,47398,191483,130277,115407,114681,215106,84263,339727,37930,,154793,76758,,94714,194150,113099,84794,113186,294343,95949,321546,36636,,172378,90665,,92605,186988,96573,75320,110457,276597,84189,306114,33835,,177908,88473,,93360,184330,89411,51104,119401,228927,81379,279999,51232,,176775,79781,,87533,175371,91914,27865,117320,263406,128747,320325,30325,,162037,70444,,84486,161647,79765,24805,132851,195916,73813,278501,70260,,149210,77197,,84705,156461,84707,25984,147618,212800,108312,289480,52248,,176105,70903,,82153,150528,65233,34985,130029,234453,91867,287912,51564,,172594,71511,,74122,156077,79293,38012
"Brunswick Community College",130373,74178,,,,,,,,,,,,42364,45741,,,,,,50657,,,,,,77297,73195,,,,,,,,,,,,55743,46554,,,,,,,,,,,,46584,57523,,,,,,,,,,16174,,39048,54762,,,,,,,,,,18674,,40754,56468,,,,,,,,,,18674,,40238,41667,,,,,,,,,,14136,,43328,44351,,,,,,,,,,23956,,41006,44228,,,,,,,,,,23064,,35031,58615,,,,,,,,,,24142,,54425,77558,,,,,,,,,,24146,
"Coe College",130105,247099,,282648,84928,,164071,138713,127821,148543,,123431,175822,183217,325037,,344859,75169,,188919,134795,148116,176260,,147018,212687,287738,373268,,352859,62534,,173415,139451,151904,174291,,189527,206204,175268,310424,,336715,70992,,164130,143458,151714,187194,,170970,211087,217060,361139,,455250,81029,,204581,145394,,228799,,131661,206691,154107,272027,,350633,61002,,178696,128257,,160925,,121020,191585,156603,287476,,334612,60677,,188950,104722,,160446,,114716,212606,132252,260364,,313408,50940,,117082,88742,,147754,,96555,171107,104906,278186,,337413,37326,,110005,70156,,150781,,110821,170969,104324,222067,,345983,42455,,95459,64604,95901,112617,194364,89733,162147,94467,220168,,272955,47351,,98017,56055,82183,104702,177452,85872,143251,70205,184567,,294691,39459,,98688,52940,80158,88800,181542,74412,133994
"Illinois College",129794,215044,,252474,69917,,214967,95326,,26173,169706,96944,,130195,304145,,343448,85034,,186348,86354,,49789,162750,113139,,149558,305027,,381111,77220,,221026,117413,,54195,196343,127417,,183174,239885,,375873,80862,,227224,111079,,57133,218180,144185,,166698,277874,,398359,62038,,217757,96093,,50496,200462,123774,,164796,262585,,380039,63410,,227253,91686,,52258,175546,124482,,175427,271278,,362695,53601,,161788,77285,,60857,112631,67920,,142962,232131,,354518,72024,,117484,65329,,55038,140451,48153,,126131,213441,,298744,69978,,123086,56730,,46245,131211,47678,,122523,168721,,288201,78375,,115482,66342,,22222,121416,40666,,91571,190238,,293785,86226,,88849,60826,,18969,122643,57205,,100018,178796,,264668,63722,,60688,59273,,23506,130035,51827,
"John Carroll University",129507,266063,,491551,46018,,242334,94780,152749,54887,283907,88615,99696,145050,398113,,632541,46826,,288273,85547,226523,54213,282803,122819,155861,189065,413549,,760483,61870,,251153,105865,251094,82828,297582,111771,144834,159300,401348,,670843,71308,,216706,95933,205770,78353,275465,109726,139457,141200,355584,,790861,60268,,226647,93321,151822,71866,271864,104651,132461,134396,334121,,726745,76812,,218743,88344,144587,55573,228094,97720,139392,136570,340920,,701833,76293,,193764,88370,133890,52547,229748,99966,146220,126938,319866,,648161,75563,,184857,103443,128941,59724,190254,90506,141329,111153,245397,,470819,89444,,168821,96803,107179,54218,205728,75817,143468,108536,229679,,478471,77977,,163299,89584,100674,42080,209001,76361,138439,92406,243448,,448082,81252,,144239,80392,103566,51583,178904,77036,106708,86057,242276,,463888,78522,,133216,78063,99890,33262,167752,69494,98120
"Endicott College",129346,165086,,,19428,182245,,69598,,60771,,61133,,130314,247002,86975,282610,26833,349768,249369,92114,,66505,,147934,,180971,225596,85211,289577,38163,328861,255732,94966,,85016,,191864,,157064,222933,96000,293903,36600,339871,254852,92034,,113587,,182894,,153032,196946,82989,241964,39440,346168,193512,148668,,85534,,169175,,136415,189135,69192,259648,32858,342979,188797,146974,,76640,,147909,,124134,153461,68598,202327,38988,,171799,135571,,76272,,152654,,127364,190767,68122,210750,37241,,183575,134286,,111636,,162022,,131299,160288,70653,252436,28090,,176648,124311,,116577,,159963,,104340,176638,68340,310402,28655,,164468,90404,,119199,,152600,,93160,145569,52733,231384,21784,,125441,94193,,78219,,137982,,115741,165524,102818,186493,40891,,65378,94570,,91129,,28084,
"Saddleback College",128957,,,,55689,,,118124,,86758,,,,230112,234598,,522184,97716,,115759,133601,124680,111935,,66364,,243301,244390,,588380,97638,,102642,140381,118469,111720,,54737,,270165,322910,,360796,90264,,63598,152403,153155,105142,,74302,,102322,160469,,270408,83343,,62269,64544,76776,57888,,52634,,178486,150469,,270408,55233,,58601,65680,74722,69084,,32795,,152414,151417,,448384,65923,,162272,81136,192698,101420,,55781,,181240,137843,,554758,86990,,111262,68396,191327,96189,,61273,,170982,127634,,518466,80919,,103618,63038,184242,90003,,58715,,143897,125715,,490613,72229,,89972,63135,179849,89790,,49212,,165450,133500,,449400,76050,,94750,65650,188850,84800,,54600,,195000,135000,,509000,85500,,945000,77500,176500,418500,,58500,
"William Paterson University of New Jersey",128874,225608,88299,328536,17905,,158043,34562,,12762,,37625,,137436,316191,118378,397356,19250,,246603,117479,88095,19042,,52437,,218097,306077,121301,472010,21592,,257398,195015,74290,18735,,60731,,231202,315468,120892,434322,23542,,223995,197259,193686,18477,,57914,,224060,287630,111155,417374,23439,,220763,197717,181406,19007,,52491,,266330,322566,143154,450477,30668,,232146,199336,184560,24262,,53789,,223595,366523,110289,437110,25265,,231860,221042,195729,21308,,55443,,219382,353884,105214,383753,26630,,236594,190305,132192,19635,,50103,,254261,349373,123544,452667,22758,,235367,165057,140154,20900,,52580,,260003,352912,113476,430666,16200,,214362,173420,99791,14453,,49207,,210073,351135,114340,421216,14531,,243879,157731,111994,14342,,33168,,239030,369728,117875,373287,,,251231,179739,109193,16585,,61460,
"Otterbein University",128827,326411,,315475,94988,,180507,89191,,33242,201447,78236,78415,177259,349268,,407110,104166,,208966,87891,,42368,230020,111468,104988,151269,345889,,408392,82104,,181512,92641,,35861,237734,88630,97916,159074,336075,,387611,126676,,182573,105401,,44623,233776,96098,102615,162697,414827,,445470,82833,,248751,113019,,46283,268540,101346,149200,138427,399309,,415281,79213,,183047,95853,,41557,235090,101491,,141453,413074,,408782,58914,,202837,99849,,42136,271886,86574,,128539,385842,,400828,43844,,182754,107579,,34361,152974,107758,,141904,372473,,388273,68117,,171373,94541,,39923,146367,87353,,126200,311716,,440202,59050,,183054,79326,,32671,150268,82443,,111511,289927,,415188,50259,,174908,86842,,33637,,77159,,102368,251554,,376600,45524,,156199,71673,,32565,,67680,
"Manchester University",128558,204436,,392027,28653,,215567,104838,72762,27299,,107154,90427,120992,202864,,367593,35749,,211506,73665,,22433,,95025,120509,131863,205830,,453445,56567,,189969,82950,60014,25179,,82093,109905,146796,214889,,380093,73949,,191856,89135,99688,23066,,71368,114161,132285,206553,,362551,61168,,179995,105851,124241,18880,,70640,125283,122108,198344,,271525,64480,,124670,102371,111363,20961,,81345,93695,133596,207578,,243150,83180,,113770,84857,101757,18776,,66784,79618,142598,196082,,247877,51070,,115679,83389,,21486,,69611,75226,138196,184407,,250238,43652,,116061,80627,,23401,,75267,73440,134272,187061,,256017,49832,,108353,78160,,17326,,70545,80584,119586,212271,,267250,37614,,114788,76447,,16403,,67268,70963,106174,192202,,251575,41130,,108058,78095,,21830,,65350,75900
"Susquehanna University",128306,,66224,,48375,,193131,63637,,57553,,,,226898,315109,158838,487759,72777,,327936,186923,223376,50485,,118477,,203619,296787,123227,461702,78790,,246563,159161,219776,77374,203692,101188,,208696,308641,153966,535951,32472,,243887,172195,199158,40759,145155,79054,,194624,333069,175369,569592,70710,,249722,134385,196638,73940,148758,110012,,197807,298981,104676,398619,46061,,234800,125322,146734,50147,174409,61490,,151829,251636,88464,307968,46534,,192295,115832,138662,28727,174875,41111,,146612,255922,103824,381967,49231,,168264,105541,,36562,169967,48573,,120267,257901,86676,312035,59207,,189414,124225,,49826,185295,44793,,112620,237532,80695,378891,54798,,165675,99857,109647,44391,172995,39074,,109865,242150,96120,327050,53137,,183259,107818,117666,28899,193240,46003,,112834,251223,82616,375496,59037,,163417,116362,,24471,190779,38844,
"Owens Community College",128012,,,,,,,55959,,,,,,156673,109325,,,,,,74834,,,,87096,,131836,131081,,,,,,71789,,,,99882,,,283463,,,,,,,,,,161531,,,304064,,,,,,,,,,161515,,282483,347111,,,122781,,316159,210087,,,,162429,,282483,357711,,,127205,,337682,210087,,,,162429,,256043,355347,,,120150,,302855,202424,,,,143340,,199999,344409,,,118644,,324345,169731,,,,140306,,243065,302990,,,94526,,287382,202851,,,,149509,,196548,254242,,,68491,,183599,185015,,,,117921,,183648,280087,,,87580,,147889,191030,,,,131418,
"Clarion University of Pennsylvania",127866,806483,,907248,76860,,204464,153836,562726,27387,251013,434220,491032,187215,834106,,910994,102064,,291725,197126,577130,38248,242779,519622,553910,209663,768974,,841259,101393,,285934,197908,545240,44863,313699,485822,571672,72266,718105,,785114,76805,,166704,112576,477262,46228,235045,390233,410024,102007,627664,,1080518,80308,,219716,126549,509589,39619,236924,450130,370686,78845,640665,,781487,65769,,159178,71478,489912,24629,220743,441534,340487,56537,829325,,738031,80336,,104968,64335,510215,44135,159550,342623,311974,85728,837693,,742176,91873,,146771,79074,480659,38342,139209,265553,394900,69358,904646,,616690,95545,,214948,74970,433759,46810,150088,269328,392002,68395,785040,,681595,69190,,139111,57140,474872,43747,122423,204254,313716,49254,682759,,704536,64960,,119224,54809,411029,32645,110977,181560,313060,41025,772156,,623502,58823,,148575,56050,451293,39584,113289,202502,381860
